Timestamp,Campus al que perteneces,Edad,Genero,Carrera que estudias,Semestre actual,¿Tienes experiencia previa en programación?,¿Has participado en alguna de las siguientes actividades extracurriculares,¿Que temas te resultas más interesantes?,¿Que te motiva a unirte a un club estudiantil?,"¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?",¿Que tan confiado(a) te sientes en tus habilidades de programación?,¿Cómo percibes el ambiente de los clubes estudiantiles en CETYS?,¿Cuánto tiempo libre promedio tienes a la semana para actividades extracurriculares?,¿Qué valor le das a pertenecer a un club como Fox Coding?,¿Cómo te describirías en general?,¿Te sientes cómodo(a) participando en actividades grupales o de colaboración?,"¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?","Si alguna vez te inscribiste a un club, fue principalmente porque:",¿Qué tan importante es para ti el sentido de comunidad dentro de un club?,¿Por qué medio te eneteraste (o te enterarías) de actividades de Fox Coding?,¿Con qué frecuencia usas redes sociales para informarte sobre eventos universitarios?,¿Qué te motivaría a unirte o participar más activamente en Fox Coding?,¿Qué tipo de eventos o actividades te gustaría que el club organizara?
10/21/2025 21:39:54,Mexicali,20,Masculino,ICC,5,Si,"Clubes estudiantiles, Hackathons, Talleres técnicos","Programación, Innovación y tecnología","Aprender cosas nuevas, Conocer personas con intereses similares, Mejorar mi currículum, Desarrollar habilidades profesionales",Si,3,Muy acogedor,6-10 horas,4,Depende del grupo o la situación,4,A veces,Me interesaba la temática del club,4,Amigos o conocidos,Varias veces por semana,Un mayor sentido de comunidad,Hackatons
10/21/2025 21:44:02,Ensenada,18,Femenino,ISW,1,Si,"Clubes estudiantiles, Hackathons, Actividades deportivas o culturales","Programación, Innovación y tecnología, Diseño o creatividad","Aprender cosas nuevas, Conocer personas con intereses similares, Mejorar mi currículum",No sabía que existia el club,2,Muy acogedor,2-5 horas,3,"Extrovertido(a), me gusta convivir con nuevas personas",4,Frecuentemente,Me interesaba la temática del club,4,"Instagram, Tik Tok, Amigos o conocidos",Diario,Conocer mejor del club,hackathones
10/21/2025 21:46:59,Mexicali,19,Femenino,ICE,3,Si,"Clubes estudiantiles, Hackathons, Talleres técnicos, Actividades deportivas o culturales","Programación, Innovación y tecnología","Conocer personas con intereses similares, Mejorar mi currículum, Divertirme / relajarme, Desarrollar habilidades profesionales",No,3,Muy acogedor,2-5 horas,1,Depende del grupo o la situación,4,A veces,Me interesaba la temática del club,3,"Instagram, Correo institucional, Amigos o conocidos",Varias veces por semana,No tengo tiempo para más actividades ,No se
10/21/2025 21:55:27,Ensenada,18,Masculino,ISW,1,Si,"Clubes estudiantiles, Hackathons, Talleres técnicos, Actividades deportivas o culturales","Programación, Innovación y tecnología, Emprendimiento, Ciencias sociales","Aprender cosas nuevas, Conocer personas con intereses similares, Divertirme / relajarme, Desarrollar habilidades profesionales",No sabía que existia el club,4,Neutro,2-5 horas,3,"Extrovertido(a), me gusta convivir con nuevas personas",4,Frecuentemente,Me interesaba la temática del club,4,Amigos o conocidos,Diario,,
10/21/2025 22:12:51,Mexicali,20,Masculino,ICC,5,Si,"Hackathons, Actividades deportivas o culturales",Programación,Aprender cosas nuevas,Si,2,Muy acogedor,2-5 horas,4,Depende del grupo o la situación,4,Rara vez,Me interesaba la temática del club,4,Amigos o conocidos,Varias veces por semana,Encontrar mi área de programación definitiva,Estoy bien como andamos.
10/22/2025 8:08:37,Mexicali,21,Femenino,ICC,7,Si,"Clubes estudiantiles, Hackathons, Talleres técnicos","Programación, Innovación y tecnología","Aprender cosas nuevas, Conocer personas con intereses similares, Mejorar mi currículum, Divertirme / relajarme, Desarrollar habilidades profesionales",Si,3,Neutro,2-5 horas,3,Depende del grupo o la situación,2,A veces,Me invitó un(a) amigo(a),4,Amigos o conocidos,Rara vez,Buena convivencia ,"Hackatons, talleres, asesorias"
10/22/2025 10:36:14,Mexicali,20,Femenino,ICC,7,Si,"Clubes estudiantiles, Hackathons",Innovación y tecnología,Aprender cosas nuevas,Si,3,Neutro,2-5 horas,3,Depende del grupo o la situación,3,Rara vez,Me invitó un(a) amigo(a),2,Amigos o conocidos,Rara vez,que promuevan mas sus actividades.,aquellos que ayuden a motivar mas gente para poder incentivarlos que la programación es para todos
10/22/2025 10:42:25,Mexicali,21,Masculino,ICC,7,Si,"Clubes estudiantiles, Hackathons","Programación, Innovación y tecnología",Divertirme / relajarme,Si,3,No tengo opinión,Menos de 2 horas,3,"Reservado(a), prefiero trabajar o aprender solo(a)",1,Nunca,Me invitó un(a) amigo(a),4,"Amigos o conocidos, Carteles o pantallas en campus",Nunca,,
10/22/2025 11:36:43,Mexicali,23,Masculino,ICC,7,Si,"Clubes estudiantiles, Hackathons, Talleres técnicos, Actividades deportivas o culturales","Programación, Innovación y tecnología, Diseño o creatividad","Aprender cosas nuevas, Conocer personas con intereses similares, Divertirme / relajarme",Si,3,Muy acogedor,Más de 10 horas,3,Depende del grupo o la situación,3,A veces,Me invitó un(a) amigo(a),4,"Instagram, Amigos o conocidos",Diario,Al ambiente ,Más hackathons
10/22/2025 11:41:10,Mexicali,21,Femenino,ICC,5,Si,"Clubes estudiantiles, Hackathons","Programación, Innovación y tecnología, Diseño o creatividad","Aprender cosas nuevas, Mejorar mi currículum, Divertirme / relajarme, Desarrollar habilidades profesionales",Si,3,Neutro,Menos de 2 horas,4,Depende del grupo o la situación,3,A veces,Me interesaba la temática del club,4,"Instagram, Facebook, Tik Tok, Correo institucional, Amigos o conocidos, Carteles o pantallas en campus",Varias veces por semana,,
10/22/2025 14:24:10,Mexicali,20,Femenino,ICC,5,No,Clubes estudiantiles,"Programación, Innovación y tecnología, Emprendimiento, Diseño o creatividad, Ciencias sociales","Aprender cosas nuevas, Conocer personas con intereses similares, Mejorar mi currículum, Desarrollar habilidades profesionales",No,2,No tengo opinión,Menos de 2 horas,3,Depende del grupo o la situación,3,A veces,Me interesaba la temática del club,4,"Amigos o conocidos, Carteles o pantallas en campus",Varias veces por semana,Que hagan cursos aún para los que no son tan pro en la programación ,Mini hackathons para estar practicando y que aunque no todos tengan el mismo nivel se pueda seguir aprendiendo
10/22/2025 16:37:15,Mexicali,24,Femenino,ICC,7,Si,"Clubes estudiantiles, Hackathons, Talleres técnicos, Actividades deportivas o culturales","Programación, Innovación y tecnología, Emprendimiento, Diseño o creatividad","Aprender cosas nuevas, Conocer personas con intereses similares, Mejorar mi currículum, Divertirme / relajarme, Desarrollar habilidades profesionales",Si,3,Muy acogedor,2-5 horas,4,"Extrovertido(a), me gusta convivir con nuevas personas",4,Frecuentemente,Me interesaba la temática del club,4,Amigos o conocidos,Varias veces por semana,,
